Observation,TextUrn,Image,Comments
urn:cite:op:leiden3.29,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@α[5],"urn:cite:hmt:vaimg.VA166RN-0337@0.5309,0.2218,0.0125,0.0108",
urn:cite:op:leiden3.30,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ρ[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.5416,0.2215,0.0103,0.0119",
urn:cite:op:leiden3.31,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ο[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.5527,0.2212,0.0085,0.01",
urn:cite:op:leiden3.32,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@σπ,"urn:cite:hmt:vaimg.VA166RN-0337@0.5619,0.2201,0.0192,0.01",σπ ligature
urn:cite:op:leiden3.33,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ε[5],"urn:cite:hmt:vaimg.VA166RN-0337@0.5781,0.2176,0.0129,0.0111",
urn:cite:op:leiden3.34,urn:cts:greekLit:tlg0012.tlg001.msA:13.101@ρ[4],"urn:cite:hmt:vaimg.VA166RN-0337@0.5862,0.2209,0.0129,0.0111",
urn:cite:op:leiden3.35,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ν,"urn:cite:hmt:vaimg.VA167VN-0669@0.4787,0.2388,0.0162,0.0158",
urn:cite:op:leiden3.36,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@υ,"urn:cite:hmt:vaimg.VA167VN-0669@0.4927,0.2288,0.0166,0.0249",
urn:cite:op:leiden3.37,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ξ,"urn:cite:hmt:vaimg.VA167VN-0669@0.5019,0.2346,0.0166,0.0249",
urn:cite:op:leiden3.38,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ε,"urn:cite:hmt:vaimg.VA167VN-0669@0.5203,0.2288,0.0166,0.0249",
urn:cite:op:leiden3.39,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@κ,"urn:cite:hmt:vaimg.VA167VN-0669@0.5325,0.2302,0.0166,0.0249",
urn:cite:op:leiden3.40,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@δ,"urn:cite:hmt:vaimg.VA167VN-0669@0.5502,0.2299,0.0136,0.0249",
urn:cite:op:leiden3.41,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@εσ,"urn:cite:hmt:vaimg.VA167VN-0669@0.5616,0.226,0.021,0.0249",εσ ligature
urn:cite:op:leiden3.42,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@π,"urn:cite:hmt:vaimg.VA167VN-0669@0.5738,0.2354,0.021,0.0174",
urn:cite:op:leiden3.43,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@α,"urn:cite:hmt:vaimg.VA167VN-0669@0.5897,0.2343,0.014,0.0174",
urn:cite:op:leiden3.44,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@σ,"urn:cite:hmt:vaimg.VA167VN-0669@0.6011,0.2341,0.014,0.0174",
urn:cite:op:leiden3.45,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ε[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.613,0.2341,0.0133,0.0197",
urn:cite:op:leiden3.46,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@v[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.6248,0.235,0.0133,0.0197",
urn:cite:op:leiden3.47,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@εγ,"urn:cite:hmt:vaimg.VA167VN-0669@0.6373,0.2286,0.0232,0.0242",εγ ligature
urn:cite:op:leiden3.48,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@χ,"urn:cite:hmt:vaimg.VA167VN-0669@0.6546,0.2325,0.0147,0.0242",
urn:cite:op:leiden3.49,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ο,"urn:cite:hmt:vaimg.VA167VN-0669@0.6638,0.2386,0.0107,0.01",
urn:cite:op:leiden3.50,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@σ[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.6745,0.2386,0.0136,0.01",
urn:cite:op:leiden3.51,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ο[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.6915,0.2355,0.0177,0.0133",
urn:cite:op:leiden3.52,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@δ[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.7077,0.2355,0.0177,0.0133",
urn:cite:op:leiden3.53,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@α[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.7262,0.2372,0.0147,0.0111",
urn:cite:op:leiden3.54,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@υ[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.7368,0.238,0.014,0.0111",
urn:cite:op:leiden3.55,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@τ,"urn:cite:hmt:vaimg.VA167VN-0669@0.7486,0.2375,0.014,0.0111",
urn:cite:op:leiden3.56,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ε[3],"urn:cite:hmt:vaimg.VA167VN-0669@0.7641,0.2291,0.0147,0.0203",
urn:cite:op:leiden3.57,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@π[2],"urn:cite:hmt:vaimg.VA167VN-0669@0.7722,0.2302,0.0147,0.0203",
urn:cite:op:leiden3.58,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ε[4],"urn:cite:hmt:vaimg.VA167VN-0669@0.7851,0.233,0.0122,0.0136",
urn:cite:op:leiden3.59,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@σ[3],"urn:cite:hmt:vaimg.VA167VN-0669@0.791,0.235,0.0144,0.0133",
urn:cite:op:leiden3.60,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ε[5],"urn:cite:hmt:vaimg.VA167VN-0669@0.801,0.2344,0.0144,0.0133",
urn:cite:op:leiden3.61,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ν[3],"urn:cite:hmt:vaimg.VA167VN-0669@0.8113,0.2361,0.0144,0.0133",
urn:cite:op:leiden3.62,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@μ,"urn:cite:hmt:vaimg.VA167VN-0669@0.8235,0.2372,0.0144,0.0133",
urn:cite:op:leiden3.63,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ε[6],"urn:cite:hmt:vaimg.VA167VN-0669@0.8345,0.2336,0.0144,0.0133",
urn:cite:op:leiden3.64,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@λ,"urn:cite:hmt:vaimg.VA167VN-0669@0.8397,0.2327,0.0166,0.0186",
urn:cite:op:leiden3.65,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ι,"urn:cite:hmt:vaimg.VA167VN-0669@0.8496,0.2297,0.0166,0.0186",
urn:cite:op:leiden3.66,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@η,"urn:cite:hmt:vaimg.VA167VN-0669@0.86,0.2297,0.0166,0.0186",
urn:cite:op:leiden3.67,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@ω,"urn:cite:hmt:vaimg.VA167VN-0669@0.8732,0.2302,0.0166,0.0186",
urn:cite:op:leiden3.68,urn:cts:greekLit:tlg0012.tlg001.msA:13.178@σ[4],"urn:cite:hmt:vaimg.VA167VN-0669@0.885,0.2316,0.0166,0.0186",
urn:cite:op:leiden3.69,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@φ,"urn:cite:hmt:vaimg.VA166RN-0337@0.2141,0.0977,0.0103,0.0136",
